Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Snowpiercer,3.0,3.68,-0.68,,127,2:07,"Korean,English,French,Japanese",Bong Joon-ho,2013,"Action,Drama,Science Fiction",Czechia,34356,329209
Kicking and Screaming,3.0,3.34,-0.34,12/16/2019,96,1:36,English,Noah Baumbach,1995,"Comedy,Drama,Romance",USA,6396,24561
Filmworker,3.0,3.58,-0.58,,94,1:34,English,Tony Zierra,2017,Documentary,USA,1200,5937
Rocketman,3.0,3.69,-0.69,,121,2:01,English,Dexter Fletcher,2019,"Drama,Music,History",UK,40093,227723
Spider-Man: Homecoming,3.0,3.62,-0.62,,133,2:13,English,Jon Watts,2017,"Science Fiction,Action,Adventure,Drama",USA,55176,656010
American Animals,3.0,3.64,-0.64,,117,1:57,"English,Dutch",Bart Layton,2018,"Crime,Documentary,Drama",USA,9896,49751
Star Wars: Episode I - The Phantom Menace,3.0,2.7,0.30,,136,2:16,English,George Lucas,1999,"Action,Science Fiction,Adventure",USA,36113,387707
Remember the Titans,3.0,3.65,-0.65,,113,1:53,English,Boaz Yakin,2000,Drama,USA,3939,64127
Mean Girls,3.0,3.8,-0.80,,97,1:37,"English,Swahili,German,Vietnamese",Mark Waters,2004,Comedy,Canada,27673,377654
John Wick: Chapter 2,3.0,3.69,-0.69,,122,2:02,"English,Italian,Russian",Chad Stahelski,2017,"Thriller,Action,Crime",USA,26231,282234
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,3.0,3.99,-0.99,,68,1:08,"Japanese,English",Kazuhisa Takenouchi,2003,"Music,Animation,Adventure,Science Fiction",France,2502,12713
Philadelphia,3.0,3.81,-0.81,12/12/2019,126,2:06,English,Jonathan Demme,1993,Drama,USA,5201,67351
Glass,2.5,2.96,-0.46,,129,2:09,"English,Spanish",M. Night Shyamalan,2019,"Drama,Science Fiction,Thriller",USA,22405,180113
Dogtooth,3.0,3.79,-0.79,,98,1:38,Greek (modern),Yorgos Lanthimos,2009,Drama,Greece,17372,106491
Hunger,2.5,3.91,-1.41,,96,1:36,English,Steve McQueen,2008,"Drama,History",Ireland,5129,41477
Molly's Game,2.5,3.52,-1.02,,140,2:20,English,Aaron Sorkin,2017,"Crime,Drama",USA,16407,112264
Fyre Fraud,2.5,3.13,-0.63,,96,1:36,English,Julia Willoughby Nason,2019,Documentary,USA,3305,15460
Searching,2.0,3.74,-1.74,,102,1:42,English,Aneesh Chaganty,2018,"Thriller,Drama,Mystery",Russian Federation,23235,146725
Departures,2.0,3.94,-1.94,,130,2:10,Japanese,Yojiro Takita,2008,Drama,Japan,1208,13421
Pokémon Detective Pikachu,2.0,3.09,-1.09,,105,1:45,English,Rob Letterman,2019,"Fantasy,Action,Adventure",Japan,33141,210307
Full-Court Miracle,2.0,2.54,-0.54,,90,1:30,English,Stuart Gillard,2003,"TV Movie,Family",N/A,205,1049
Bohemian Rhapsody,1.5,3.39,-1.89,,135,2:15,English,Bryan Singer,2018,"Music,History,Drama",UK,43002,487711
Cats,1.0,1.39,-0.39,12/17/2019,110,1:50,English,Tom Hooper,2019,"Fantasy,Comedy,Drama",UK,40386,86164
