Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Incredibles 2,3.0,3.53,-0.53,,118,1:58,English,Brad Bird,2018,"Animation,Family,Action,Adventure",USA,31995,417141
Full Metal Jacket,4.0,4.12,-0.12,11/22/2020,117,1:57,"English,Vietnamese",Stanley Kubrick,1987,"Drama,War",UK,16651,262882
Thor: Ragnarok,3.5,3.88,-0.38,,131,2:11,English,Taika Waititi,2017,"Adventure,Action,Science Fiction,Fantasy",USA,56113,645673
The Witch,3.5,3.86,-0.36,,92,1:32,English,Robert Eggers,2015,"Drama,Mystery,Horror,Fantasy",Canada,49798,377189
The Killing of a Sacred Deer,3.5,3.75,-0.25,,121,2:01,"English,French",Yorgos Lanthimos,2017,"Mystery,Thriller,Drama",UK,41002,232861
Deadpool 2,3.0,3.49,-0.49,,119,1:59,"English,Cantonese,Russian,Spanish",David Leitch,2018,"Action,Comedy,Adventure",Canada,30118,413129
A Quiet Place,2.5,3.71,-1.21,,91,1:31,English,John Krasinski,2018,"Science Fiction,Drama,Horror",USA,55372,576385
The Shape of Water,3.0,3.69,-0.69,,123,2:03,"English,Russian",Guillermo del Toro,2017,"Drama,Romance,Fantasy",USA,41831,436147
John Wick: Chapter 2,3.0,3.69,-0.69,,122,2:02,"English,Italian,Russian",Chad Stahelski,2017,"Thriller,Action,Crime",USA,26231,282234
Wedding Crashers,3.0,3.08,-0.08,,119,1:59,English,David Dobkin,2005,"Romance,Comedy",USA,4710,86573
Brigsby Bear,3.0,3.79,-0.79,,97,1:37,English,Dave McCary,2017,"Comedy,Drama",USA,6551,29103
"I, Tonya",2.5,3.86,-1.36,,120,2:00,English,Craig Gillespie,2017,Drama,USA,38529,341853
The Ritual,2.5,3.2,-0.70,,94,1:34,"English,Swedish",David Bruckner,2017,"Mystery,Thriller,Horror",Canada,13699,92704
The Thirteenth Year,3.0,2.64,0.36,,95,1:35,English,Duwayne Dunham,1999,"Adventure,Comedy,Family,TV Movie",N/A,488,5073
Jarhead,2.5,3.45,-0.95,,123,2:03,"English,Spanish,Arabic,Latin",Sam Mendes,2005,"Drama,War",UK,4234,58002
The Luck of the Irish,3.0,2.53,0.47,,86,1:26,English,Paul Hoen,2001,"TV Movie,Family,Comedy,Adventure",N/A,888,7788
Girls Trip,2.5,3.21,-0.71,,122,2:02,English,Malcolm D. Lee,2017,Comedy,USA,5221,34885
Sky High,2.5,3.05,-0.55,,100,1:40,English,Mike Mitchell,2005,"Adventure,Family,Comedy",USA,7620,73170
Deliverance,3.0,3.77,-0.77,,109,1:49,English,John Boorman,1972,"Thriller,Drama,Adventure",USA,4465,41066
Gerald's Game,2.0,3.21,-1.21,,104,1:44,English,Mike Flanagan,2017,"Thriller,Horror",USA,12722,103629
Death Note,2.0,1.59,0.41,,101,1:41,"English,Japanese",Adam Wingard,2017,"Thriller,Fantasy,Horror,Crime,Drama",USA,11203,83191
The Kissing Booth,1.5,1.73,-0.23,,105,1:45,English,Vince Marcello,2018,"Comedy,Romance",UK,14360,98316
